SiteID,AltNum,Description
777,G 2243a,Alternate Reisner No
803,Djaty,Alternate Reisner No
803,Djati,Alternate Reisner No
814,G 5390,Alternate Reisner No
814,G 5490,Alternate Reisner No
821,LG 27,Lepsius No
821,L.27,Lepsius No
821,Lepsius 27,Lepsius No
826,G 2375a,Alternate Reisner No
833,Lepsius 26,Lepsius No
833,L.26,Lepsius No
833,LG 26,Lepsius No
836,G 2387,Alternate Reisner No
839,Tomb of Funerary Priests of Senezemib Family,Other No
849,G 2402a,Alternate Reisner No
849,G 2402b,Alternate Reisner No
873,G 2424,Correct Double Mastaba No
873,G 2425,Correct Double Mastaba No
878,LG 25,Lepsius No
878,L.25,Lepsius No
878,Lepsius 25,Lepsius No
887,G 2439a,Alternate Reisner No
890,G 2441a,Alternate Reisner No
894,G 2444a,Alternate Reisner No
915,G 2469a,Alternate Reisner No
917,G 2471a,Alternate Reisner No
919,G 2472a,Alternate Reisner No
923,G 2475a,Alternate Reisner No
925,G 2476a,Alternate Reisner No
944,G 3000 a,Alternate Reisner No
944,G 3000 b,Alternate Reisner No
945,G 3001 b,Alternate Reisner No
945,G 3001 a,Alternate Reisner No
957,G 3013 b,Alternate Reisner No
957,G 3014,Correct Double Mastaba No
957,G 3013 a,Alternate Reisner No
957,G 3013,Correct Double Mastaba No
965,G 3026 a,Alternate Reisner No
965,G 3026 b,Alternate Reisner No
972,G 3036 b,Alternate Reisner No
973,G 3037 b,Alternate Reisner No
973,G 3037 a,Alternate Reisner No
977,[G 2071],Alternate Reisner No (Fisher Cemetery)
978,[G 2072],Alternate Reisner No (Fisher Cemetery)
979,[G 2073],Alternate Reisner No (Fisher Cemetery)
980,[G 2074],Alternate Reisner No (Fisher Cemetery)
981,[G 2081],Alternate Reisner No (Fisher Cemetery)
982,[G 2082],Alternate Reisner No (Fisher Cemetery)
983,[G 2083],Alternate Reisner No (Fisher Cemetery)
984,[G 2084],Alternate Reisner No (Fisher Cemetery)
985,[G 2085],Alternate Reisner No (Fisher Cemetery)
986,[G 2087],Alternate Reisner No (Fisher Cemetery)
986,G 3087a,Alternate Reisner No
986,G 3087b,Alternate Reisner No
987,[G 2086],Alternate Reisner No (Fisher Cemetery)
