ConstituentID,ConstituentTypeID,SiteID,SiteName,SiteNumber,ThumbPathName,ThumbFileName,ArchIDNum
55,3,304,Western Cemetery,G 1174,https://nrs.harvard.edu,urn-3:FHCL:38591136?width=170&height=170,462505098
55,3,305,Western Cemetery,G 1177,https://nrs.harvard.edu,urn-3:FHCL:38639376?width=170&height=170,462608941
56,3,1890,Western Cemetery,G 2156b,https://nrs.harvard.edu,urn-3:FHCL:41107217?width=170&height=170,474940508
57,3,1831,Central Field (Hassan),G 8154,Y:\\images\MFA-images\Giza\GizaImage\thumbnails\recent\,PDM_05736.jpg,NULL
58,3,1230,Western Cemetery,Khufuseneb [II],https://nrs.harvard.edu,urn-3:FHCL:41105931?width=170&height=170,474938642
59,3,282,Western Cemetery,G 1151,https://nrs.harvard.edu,urn-3:FHCL:37833484?width=170&height=170,459997296
60,3,1517,Eastern Cemetery,G 7102,https://nrs.harvard.edu,urn-3:FHCL:37792515?width=170&height=170,459780121
61,3,1843,Western Cemetery,Akhethetep,https://nrs.harvard.edu,urn-3:FHCL:41594861?width=170&height=170,481003585
62,3,1868,Central Field (Hassan),G 8464,https://nrs.harvard.edu,urn-3:FHCL:41121893?width=170&height=170,474982243
63,3,1339,Western Cemetery,G 5482,https://nrs.harvard.edu,urn-3:FHCL:40810059?width=170&height=170,472335742
65,3,490,Western Cemetery,G 2001,https://nrs.harvard.edu,urn-3:FHCL:37704495?width=170&height=170,459586188
66,3,1923,Central Field (Hassan),G 8800,https://nrs.harvard.edu,urn-3:FHCL:41121893?width=170&height=170,474982243
67,3,2106,Western Cemetery,G 2136,https://nrs.harvard.edu,urn-3:FHCL:40666584?width=170&height=170,471613633
68,3,1521,Eastern Cemetery,G 7130-7140,https://nrs.harvard.edu,urn-3:FHCL:37777165?width=170&height=170,459753489
68,3,1565,Eastern Cemetery,G 7430-7440,https://nrs.harvard.edu,urn-3:FHCL:37740391?width=170&height=170,459673878
68,3,2299,Khufu Pyramid Complex,G I-c,https://nrs.harvard.edu,urn-3:FHCL:37741887?width=170&height=170,459676056
69,3,878,Western Cemetery,G 2430,https://nrs.harvard.edu,urn-3:FHCL:37819376?width=170&height=170,459918215
70,3,530,Western Cemetery,G 5080,https://nrs.harvard.edu,urn-3:FHCL:37704599?width=170&height=170,459586344
70,3,538,Western Cemetery,G 5170,Y:\\images\MFA-images\Giza\GizaImage\thumbnails\recent\,PDM_01090.jpg,NULL
71,3,499,Western Cemetery,G 2009,https://nrs.harvard.edu,urn-3:FHCL:37818978?width=170&height=170,459917618
72,3,1863,Central Field (Hassan),G 8922,https://nrs.harvard.edu,urn-3:FHCL:41121893?width=170&height=170,474982243
72,3,1871,Central Field (Hassan),G 8923,https://nrs.harvard.edu,urn-3:FHCL:41121893?width=170&height=170,474982243
73,3,42,Western Cemetery,D 117,https://nrs.harvard.edu,urn-3:FHCL:41391683?width=170&height=170,478127405
74,3,490,Western Cemetery,G 2001,https://nrs.harvard.edu,urn-3:FHCL:37704495?width=170&height=170,459586188
75,3,1509,Eastern Cemetery,G 7000 X,https://nrs.harvard.edu,urn-3:FHCL:37740633?width=170&height=170,459674211
76,3,1570,Eastern Cemetery,G 7510,https://nrs.harvard.edu,urn-3:FHCL:37740327?width=170&height=170,459673782
77,3,1319,Central Field (Hassan),G 8900,https://nrs.harvard.edu,urn-3:FHCL:41121893?width=170&height=170,474982243
79,3,541,Western Cemetery,G 5210,https://nrs.harvard.edu,urn-3:FHCL:38552308?width=170&height=170,462429837
79,3,1175,Eastern Cemetery,G 7530-7540,https://nrs.harvard.edu,urn-3:FHCL:40683663?width=170&height=170,471648662
79,3,1176,Eastern Cemetery,G 7550,https://nrs.harvard.edu,urn-3:FHCL:37777067?width=170&height=170,459753342
79,3,1271,Eastern Cemetery,G 7660,https://nrs.harvard.edu,urn-3:FHCL:37777097?width=170&height=170,459753387
