ID,SiteID,SiteName,SiteNumber,ClassificationID
21077,1287,Eastern Cemetery,G 7757,84
21078,1283,Eastern Cemetery,G 7750,95
21079,1283,Eastern Cemetery,G 7750,34
21080,1283,Eastern Cemetery,G 7750,79
21081,1283,Eastern Cemetery,G 7750,116
21082,1283,Eastern Cemetery,G 7750,116
21083,1283,Eastern Cemetery,G 7750,88
21084,1283,Eastern Cemetery,G 7750,79
21085,2207,Eastern Cemetery,G 7752,95
21086,1611,Eastern Cemetery,G 7814,53
21087,2208,Eastern Cemetery,G 7756,79
21088,2208,Eastern Cemetery,G 7756,79
21089,2208,Eastern Cemetery,G 7756,79
21090,2207,Eastern Cemetery,G 7752,129
21091,1611,Eastern Cemetery,G 7814,95
21092,2208,Eastern Cemetery,G 7756,79
21093,2208,Eastern Cemetery,G 7756,87
21094,2207,Eastern Cemetery,G 7752,95
21095,1570,Eastern Cemetery,G 7510,129
21096,1611,Eastern Cemetery,G 7814,79
21097,1611,Eastern Cemetery,G 7814,79
21098,1284,Eastern Cemetery,G 7753,95
21099,1611,Eastern Cemetery,G 7814,79
21100,1570,Eastern Cemetery,G 7510,79
21101,1570,Eastern Cemetery,G 7510,34
21102,1283,Eastern Cemetery,G 7750,79
21103,1284,Eastern Cemetery,G 7753,82
21104,1611,Eastern Cemetery,G 7814,95
