ID,MediaMasterID,ClassificationID
0,1527,1
1,4265,1
2,5649,1
3,4329,1
4,4362,1
5,4382,1
6,1934,1
7,2184,1
8,272,1
9,5401,1
10,5346,1
11,309,1
12,5931,1
13,4223,1
14,4649,1
15,2221,1
16,2973,1
17,139,1
18,5453,1
19,2994,1
20,4657,1
21,5485,1
22,2863,1
23,4617,1
24,2190,1
25,4642,1
26,5405,1
27,4213,1
28,1061,1
29,2022,1
30,2264,1
31,5477,1
32,2245,1
33,1331,1
34,262,1
35,5517,1
36,1110,1
37,1269,1
38,5338,1
39,5217,1
40,1052,1
41,5912,1
42,5647,1
43,4508,1
44,323,1
45,4668,1
46,319,1
47,1779,1
48,4182,1
49,5895,1
50,4178,1
51,1079,1
52,1864,1
53,2130,1
54,160,1
55,4356,1
56,4376,1
57,5354,1
58,153,1
59,4665,1
60,5524,1
61,6034,1
62,513,1
63,4554,1
64,4270,1
65,328,1
66,5916,1
67,4646,1
68,4526,1
69,1317,1
70,5772,1
71,350,1
72,5776,1
73,4402,1
74,6048,1
75,4773,1
76,651,1
77,4390,1
78,5755,1
79,6043,1
80,5595,1
82,1521,1
83,1632,1
85,773,1
86,1547,1
87,4968,1
88,6173,1
90,5786,1
91,4395,1
92,4824,1
93,473,1
94,5555,1
95,4741,1
96,5593,1
97,2555,1
98,4916,1
99,5695,1
100,2268,1
101,4388,1
102,4400,1
103,4448,1
104,5677,1
105,1499,1
106,807,1
107,5766,1
108,1494,1
109,4923,1
110,2525,1
111,1392,1
112,481,1
113,673,1
114,5084,1
115,5553,1
116,821,1
117,4950,1
118,445,1
119,6204,1
120,796,1
121,6170,1
122,6201,1
123,4423,1
124,5779,1
125,1653,1
126,5074,1
127,359,1
128,4406,1
129,5849,1
130,1550,1
131,5610,1
132,4709,1
133,6146,1
134,4739,1
135,623,1
136,4822,1
137,5783,1
138,4888,1
139,5388,1
140,5506,1
141,4217,1
142,4669,1
143,5422,1
144,4580,1
146,5890,1
147,4328,1
148,5883,1
149,4616,1
150,3084,1
151,4590,1
152,4501,1
153,5872,1
154,4569,1
155,4285,1
156,4570,1
157,143,1
158,5364,1
159,5410,1
160,2093,1
161,2249,1
162,1048,1
163,5827,1
164,5928,1
165,148,1
166,5497,1
167,5525,1
168,1241,1
169,4611,1
170,4662,1
171,243,1
172,2263,1
173,5919,1
174,3049,1
175,6007,1
176,119,1
177,4277,1
178,5521,1
179,2946,1
180,5396,1
181,4606,1
182,5640,1
183,6012,1
184,5484,1
185,6002,1
186,3053,1
187,4601,1
188,5409,1
189,1087,1
190,5877,1
191,5406,1
192,4186,1
193,5839,1
194,4525,1
195,5852,1
196,1869,1
197,912,1
198,5652,1
199,5817,1
200,2857,1
201,5857,1
202,5980,1
203,5921,1
204,6033,1
205,4330,1
206,4361,1
207,5163,1
208,3024,1
209,518,1
210,6098,1
211,5778,1
212,4475,1
213,862,1
214,5736,1
215,354,1
216,857,1
217,4935,1
218,372,1
219,5589,1
220,4939,1
221,5769,1
222,742,1
223,447,1
224,5552,1
225,460,1
226,366,1
227,4943,1
228,5805,1
229,5711,1
230,6178,1
231,5546,1
232,6112,1
233,5773,1
234,4984,1
235,4948,1
236,4456,1
237,4874,1
238,4910,1
239,5592,1
240,4766,1
241,1479,1
242,4961,1
243,4967,1
244,5726,1
245,568,1
246,4938,1
247,4429,1
248,4476,1
249,5626,1
250,2737,1
251,6147,1
252,4772,1
253,5629,1
254,5671,1
255,6145,1
256,4433,1
258,6080,1
259,4969,1
260,5083,1
261,5719,1
262,2370,1
263,5619,1
264,726,1
265,4952,1
266,5561,1
267,529,1
268,399,1
269,422,1
270,6155,1
271,5529,1
272,5665,1
273,581,1
274,6206,1
275,6110,1
276,5632,1
277,881,1
278,6153,1
279,4181,1
280,3076,1
281,4286,1
282,4200,1
283,2258,1
284,4624,1
285,956,1
286,5170,1
287,4224,1
288,1215,1
289,1802,1
290,2062,1
291,5637,1
292,4613,1
293,6003,1
294,1887,1
295,4282,1
296,4338,1
297,4545,1
298,4581,1
299,1224,1
300,3094,1
301,5933,1
302,5823,1
303,4288,1
304,4351,1
305,144,1
306,4259,1
307,4594,1
308,4637,1
309,5516,1
310,5486,1
311,5345,1
312,4343,1
313,4374,1
314,191,1
315,4515,1
316,316,1
317,5934,1
318,4239,1
319,4350,1
320,5331,1
321,5917,1
322,3062,1
323,4284,1
324,4234,1
325,5324,1
326,4678,1
327,196,1
328,310,1
329,5970,1
330,2044,1
331,1132,1
332,4279,1
333,4323,1
334,5467,1
335,1987,1
336,265,1
337,4219,1
338,4532,1
339,1772,1
340,2054,1
341,5648,1
342,142,1
343,4268,1
344,4587,1
345,5380,1
346,4689,1
347,1103,1
348,1252,1
349,4880,1
350,6167,1
351,35198,1
352,4914,1
353,5800,1
354,605,1
355,4405,1
356,417,1
357,4706,1
358,2670,1
359,463,1
360,6107,1
361,4886,1
362,1509,1
363,4818,1
364,6116,1
365,6194,1
366,4737,1
367,2604,1
368,4821,1
369,4895,1
369,45232,1
370,4734,1
371,4994,1
372,5160,1
373,6159,1
374,4954,1
375,2446,1
376,893,1
377,2581,1
378,5658,1
379,5660,1
380,911,1
381,6088,1
382,394,1
383,5668,1
384,4926,1
385,5714,1
386,412,1
387,5702,1
388,378,1
389,5550,1
390,4687,1
391,6123,1
392,5728,1
393,1432,1
394,2745,1
395,5700,1
396,381,1
397,5731,1
398,699,1
399,1721,1
400,444,1
401,6055,1
402,6181,1
403,4771,1
404,6039,1
405,6121,1
406,387,1
407,5099,1
408,2774,1
409,6125,1
410,461,1
411,5746,1
412,1502,1
413,5724,1
414,6020,1
415,457,1
416,480,1
417,347,1
418,1496,1
419,4925,1
420,404,1
421,4983,1
422,425,1
423,396,1
424,6090,1
425,4392,1
426,5698,1
427,4794,1
428,4717,1
429,5030,1
430,2780,1
431,4441,1
432,4470,1
433,517,1
434,558,1
435,6083,1
436,4732,1
437,4436,1
438,5635,1
439,5733,1
440,6046,1
441,650,1
442,346,1
443,4457,1
444,6084,1
445,5673,1
446,4466,1
447,622,1
448,2656,1
449,6126,1
450,1364,1
451,903,1
452,410,1
453,1546,1
454,1679,1
455,4989,1
456,5131,1
457,6099,1
458,1657,1
459,1617,1
460,5530,1
461,5109,1
462,6052,1
463,1380,1
464,2393,1
465,4469,1
466,4442,1
467,2356,1
468,4432,1
469,5758,1
470,431,1
471,1434,1
472,4431,1
473,4461,1
474,4761,1
475,5747,1
476,4861,1
477,5739,1
478,6143,1
479,6094,1
480,4791,1
481,5634,1
