SiteID,EventType,DateText
1283,PorterMoss Date,Middle or late Dynasty 4
1286,Reisner Date,Dynasty 5-6
1287,PorterMoss Date,Ptolemaic
1288,Reisner Date,Ptolemaic
1289,Reisner Date,Dynasty 5-6
1290,PorterMoss Date,Dynasty 6
1291,Baer Date,Khafre to Menkaure
1291,PorterMoss Date,Khufu to Menkaure
1300,PorterMoss Date,Dynasty 5
1306,PorterMoss Date,Dynasty 5
1307,PorterMoss Date,Razedef to Sahure
1307,Jacquet-Gordon Date,Early Dynasty 5
1307,Harpur Date,Sahure
1307,Reisner Date,Sahure
1308,PorterMoss Date,Middle to end of Dynasty 4
1309,PorterMoss Date,Middle Dynasty 5 or later
1310,PorterMoss Date,Late Old Kingdom
1311,PorterMoss Date,Dynasty 6
1312,PorterMoss Date,Dynasty 6
1313,PorterMoss Date,Probably Dynasty 5
1314,PorterMoss Date,Middle Dynasty 5 or later
1314,Baer Date,Mid Dynasty 5 or later
1314,Harpur Date,Niuserre - Dynasty 6
1315,PorterMoss Date,Dynasty 5
1316,PorterMoss Date,Late Old Kingdom
1317,PorterMoss Date,Late Old Kingdom
1318,Harpur Date,Niuserre - Teti
1318,PorterMoss Date,Late Dyn 5 or early Dyn 6
1319,PorterMoss Date,Late Dynasty 5
1321,PorterMoss Date,Dynasty 6
1322,PorterMoss Date,Dynasty 6
1323,PorterMoss Date,Dynasty 5 or later
1324,PorterMoss Date,Dynasty 26
1325,PorterMoss Date,Dynasty 5-6
1326,PorterMoss Date,Late Old Kingdom
1327,PorterMoss Date,Dynasty 6
1328,PorterMoss Date,Dynasty 5-6
1329,PorterMoss Date,Dynasty 26
1330,PorterMoss Date,Dynasty 5 or later
1331,PorterMoss Date,Dynasty 5-6
1332,PorterMoss Date,Dynasty 26
1333,PorterMoss Date,Dynasty 6
1334,PorterMoss Date,Middle Dynasty 5 or later
1335,PorterMoss Date,Late Dynasty 5
1336,PorterMoss Date,Dynasty 6
1337,PorterMoss Date,Late Old Kingdom
1338,PorterMoss Date,Middle of Dynasty 5 or later
1339,PorterMoss Date,Dynasty 5-6
1343,PorterMoss Date,Late Dynasty 5 or Dynasty 6
1343,Harpur Date,Unis - Dynasty 6?
1343,Strudwick Date,Late Dynasty 5 - early Dynasty 6
1352,PorterMoss Date,Early Dynasty 6
1353,PorterMoss Date,Dynasty 5-6
1354,PorterMoss Date,Dynasty 6
1355,PorterMoss Date,Dynasty 6
1357,PorterMoss Date,Dynasty 6
1358,PorterMoss Date,Early Dynasty 6
1358,Baer Date,Dynasty 6
1359,PorterMoss Date,Dynasty 6
1363,PorterMoss Date,Middle to end of Dynasty 5
1363,Baer Date,Mid Dynasty 5 to late Dynasty 5
1363,Harpur Date,Niuserre
1363,Reisner Date,Niuserre
1363,idem Date,After Niuserre
1364,Reisner Date,Late Dynasty 5 or early Dyn 6
1365,Reisner Date,Late Dynasty 5 or early Dyn 6
1366,Reisner Date,Late Dynasty 5 or early Dyn 6
1367,Reisner Date,Late Dynasty 5 or early Dyn 6
1369,Harpur Date,Late Neferirkare
1369,Jacquet-Gordon Date,Niuserre
1369,Reisner Date,Mid Niuserre
1369,idem Date,Niuserre
1369,PorterMoss Date,Dynasty 5: Niuserre or later
1369,Baer Date,Niuserre or slightly later
1379,Baer Date,Mid Dynasty 5
1379,PorterMoss Date,Mid Dynasty 5
1379,Harpur Date,Niuserre
1379,Reisner Date,Mid Niuserre
1386,PorterMoss Date,Dynasty 5-6
1387,Baer Date,Dynasty 5
1387,PorterMoss Date,Neferirkare
1387,Baer Date,Neferirkare
1387,Baud Date,Userkaf - Neferirkare
1387,Harpur Date,Neferirkare
1387,Reisner Date,Neferirkare - Niuserre
1387,idem Date,Neferirkare
1389,PorterMoss Date,Late Dynasty 5
1490,Reisner Date,Ptolemaic
1509,PorterMoss Date,Khufu
1510,PorterMoss Date,Khephren
1511,PorterMoss Date,Khufu to Khafre
1511,Baer Date,Dynasty 4
1512,Baer Date,End of Dyn 4 to early Dyn 5
1512,PorterMoss Date,Middle Dyn 4 to early Dyn 5
1516,PorterMoss Date,Pepy I or later
1516,Baer Date,Dynasty 6
1517,Baer Date,Dynasty 6 or later
1517,PorterMoss Date,Pepy I or later
1518,PorterMoss Date,Khufu
1518,Baer Date,Middle of Dynasty 4
1519,PorterMoss Date,Late Dyn 4 to early Dyn 5
1520,PorterMoss Date,Neuserre
1521,Baer Date,Mid to end of Dynasty 4
1521,PorterMoss Date,Khufu to end of Dynasty 4
1522,PorterMoss Date,Ptolemaic
1523,PorterMoss Date,Late Dynasty 4 to Dynasty 5
1524,PorterMoss Date,Mycerinus or later
1525,PorterMoss Date,Late Dynasty 4 to Dynasty 5
1526,PorterMoss Date,Late Dynasty 4 to Dynasty 5
1527,PorterMoss Date,Dynasty 5-6 (?)
1536,PorterMoss Date,Niuserre
1536,Baud Date,Niuserre
1536,Baer Date,Dynasty 5: Niuserre
1536,Harpur Date,Niuserre
1536,Simpson Date,Niuserre or later
1536,Schmitz Date,Niuserre
1536,Strudwick Date,Neferirkare - Niuserre
1538,Harpur Date,Unis - Teti ?
1538,Strudwick Date,Early -middle reign of Niuserre
1538,Baer Date,Dynasty 5 to Dynasty 6
1538,PorterMoss Date,Late Dynasty 5 or Dynasty 6
1542,PorterMoss Date,Dynasty 5
1544,PorterMoss Date,Dynasty 5-6
1545,PorterMoss Date,Dynasty 4-5
1553,PorterMoss Date,Dynasty 4 (?)
1564,PorterMoss Date,Khufu to early Dynasty 5
1565,PorterMoss Date,Khufu to Khafre
1565,Baer Date,Dynasty 4
1570,Baer Date,Dynasty 4
1570,PorterMoss Date,Khafre
1571,Reisner Date,Dynasty 5-6
1572,Reisner Date,Dynasty 5-6
1573,Reisner Date,Dynasty 5-6
1577,Reisner Date,Dynasty 5-6
1584,PorterMoss Date,Dynasty 18
1586,PorterMoss Date,Dynasty 26
1598,PorterMoss Date,Probably Dynasty 5-6
1605,PorterMoss Date,Dynasty 5
1606,PorterMoss Date,End of Dyn 4 or early Dyn 5
1611,PorterMoss Date,Dynasty 5-6
1612,PorterMoss Date,Dynasty 5-6
1618,PorterMoss Date,End of Dyn 4 or early Dyn 5
1619,PorterMoss Date,Dynasty 5-6
1620,PorterMoss Date,Dynasty 5-6
1633,PorterMoss Date,Dynasty 5
1645,PorterMoss Date,End of Dynasty 5 or Dynasty 6
1645,Baer Date,End of Dynasty 5 - Dynasty 6
1653,PorterMoss Date,Dynasty 5-6
1688,Reisner Date,Late Dynasty 5
1695,PorterMoss Date,Menkaure
1696,PorterMoss Date,Menkaure
1697,PorterMoss Date,Dynasty 4: Menkaure
1697,Baer Date,Menkaure or later
1698,PorterMoss Date,Menkaure
1699,Baer Date,Dynasty 5
1699,PorterMoss Date,Dynasty 5 or later
1700,PorterMoss Date,Menkaure
1701,PorterMoss Date,End of Dynasty 5 or later
1701,Baer Date,End of Dynasty 5 or later
1701,Harpur Date,Unis - Teti ?
1702,PorterMoss Date,Menkaure
1769,PorterMoss Date,Old Kingdom
1770,PorterMoss Date,Dynasty 5-6
1772,PorterMoss Date,Dynasty 4
1773,PorterMoss Date,Dynasty 4
1775,PorterMoss Date,Dynasty 4
1776,PorterMoss Date,Dynasty 4
1777,PorterMoss Date,Dynasty 4
1778,PorterMoss Date,Dynasty 4
1779,PorterMoss Date,Dynasty 4
1780,PorterMoss Date,Dynasty 4
1782,PorterMoss Date,Dynasty 4
1783,PorterMoss Date,Dynasty 4
1790,PorterMoss Date,Dynasty 4
1791,PorterMoss Date,Isesi
1792,PorterMoss Date,Dynasty 5-6
1793,PorterMoss Date,Khafre to Menkaure or later
1794,PorterMoss Date,Dynasty 5-6
1795,PorterMoss Date,Dynasty 5 or later
1795,Baer Date,?
1796,Baer Date,Early Dynasty 5.
1796,Harpur Date,Userkaf - Sahure
1796,Kanawati Date,Djedkare - Unis
1796,Reisner Date,late Menkaure - post-Neferirkare
1796,Strudwick Date,Early Dynasty 5
1796,PorterMoss Date,Probably early Dynasty 5
1797,PorterMoss Date,Dynasty 6
1799,PorterMoss Date,Dynasty 6
1800,PorterMoss Date,Dynasty 6
1801,PorterMoss Date,End of Dynasty 5 or Dynasty 6
1801,Baer Date,Very end of Dynasty 5 or later
1801,Harpur Date,Unis - Teti
1801,Jacquet-Gordon Date,Dynasty 6
1801,Junker Date,Beginning of Dynasty 6
1802,PorterMoss Date,Dynasty 6
1803,PorterMoss Date,Dynasty 5-6
1804,PorterMoss Date,Middle Dynasty 5 or Dynasty 6
1805,PorterMoss Date,Late Dyn 5 or early Dyn 6
1806,PorterMoss Date,Dynasty 5-6
1807,PorterMoss Date,Dynasty 5-6
1808,PorterMoss Date,Dynasty 5-6
1809,PorterMoss Date,Dynasty 5-6
1810,PorterMoss Date,Dynasty 5-6
1811,PorterMoss Date,Dynasty 6
1812,PorterMoss Date,Dynasty 5-6
1814,PorterMoss Date,Dynasty 5-6
1815,PorterMoss Date,Dynasty 5-6
1816,PorterMoss Date,Dynasty 5-6
1817,Baer Date,Dynasty 5 or later
1817,PorterMoss Date,Dynasty 5 or later
1818,PorterMoss Date,Dynasty 5-6
1819,PorterMoss Date,Middle Dynasty 5 or Dynasty 6
1820,PorterMoss Date,Dynasty 5-6
1821,PorterMoss Date,Dynasty 5
1822,PorterMoss Date,Dynasty 26
1823,PorterMoss Date,Dynasty 26
1824,PorterMoss Date,Dynasty 26
1825,PorterMoss Date,Khafre to Menkaure or later
1826,PorterMoss Date,End of Dynasty 5 or later
1826,Baer Date,End of Dynasty 5 or later
1826,Harpur Date,Unis - Dynasty 6
1827,PorterMoss Date,Dynasty 6
1828,PorterMoss Date,End of Dyasty 4
1829,PorterMoss Date,Khephren to end of Dynasty 4
1830,PorterMoss Date,Khephren
1831,Baer Date,Khafre to Menkaure
1831,PorterMoss Date,Khafre to early Dynasty 5
1832,PorterMoss Date,Menkaure
1833,PorterMoss Date,Middle Dynasty 5 or later
1833,Harpur Date,Niuserre - Unis ?
1833,Baer Date,Mid Dynasty 5 or later
1833,Junker Date,Dynasty 6
1834,PorterMoss Date,End of Dynasty 4
1835,PorterMoss Date,Dynasty 5-6
1836,Baer Date,Dynasty 6
1836,Reisner Date,Late Dynasty 4 or Dynasty 5
1836,PorterMoss Date,Late Dyn 4 or 5 or Dyn 6
1837,PorterMoss Date,End of Dynasty 5
1838,PorterMoss Date,Dynasty 5
1839,PorterMoss Date,Middle Dynasty 5 or later
1840,PorterMoss Date,End of Dyn 4 or early Dyn 5
1841,PorterMoss Date,Middle Dynasty 5 or later
1842,PorterMoss Date,Dynasty 6
1843,PorterMoss Date,Dynasty 6
1844,PorterMoss Date,Dynasty 5-6
1845,PorterMoss Date,Early Dyn 5 or Dyn 6
1846,PorterMoss Date,Dynasty 5 or later
1847,PorterMoss Date,Late Old Kingdom
1848,PorterMoss Date,Dynasty 6
1849,PorterMoss Date,Dynasty 6
1850,PorterMoss Date,Dynasty 5 or later
1851,PorterMoss Date,Late Old Kingdom
1852,PorterMoss Date,Dynasty 6
1853,PorterMoss Date,Middle to end of Dynasty 4 or ea
1855,PorterMoss Date,Late Dynasty 5 or Dynasty 6
1856,PorterMoss Date,End of Dynasty 4 to Dynasty 5
1857,PorterMoss Date,Dynasty 5 or later
1858,PorterMoss Date,Dynasty 6
1859,PorterMoss Date,Dynasty 6
1860,PorterMoss Date,Dynasty 6
1861,PorterMoss Date,Dynasty 5-6
1862,PorterMoss Date,Late Dynasty 5 or Dynasty 6
1863,PorterMoss Date,Dynasty 5
1863,Harpur Date,Niuserre - Unis
1864,PorterMoss Date,Dynasty 5 or later
1865,PorterMoss Date,Probably late Dynasty 4
1866,PorterMoss Date,Dynasty 6
1867,PorterMoss Date,Middle Dyasty 5 or later
1868,PorterMoss Date,Mid- or end Dyn 4 or Dyn 5
1869,PorterMoss Date,End of Dynasty 5 or later
1869,Harpur Date,Unis - Teti
1870,PorterMoss Date,Dynasty 6
1871,PorterMoss Date,Dynasty 5
1872,PorterMoss Date,Dynasty 6
1873,PorterMoss Date,Dynasty 6
1874,PorterMoss Date,Dynasty 6
1875,PorterMoss Date,End of Dynasty 5 or later
1876,PorterMoss Date,Dynasty 6
1877,PorterMoss Date,Dynasty 5-6
1878,PorterMoss Date,Dynasty 6
1879,PorterMoss Date,Dynasty 6
1881,PorterMoss Date,Dynasty 6
1882,PorterMoss Date,Dynasty 6
1883,PorterMoss Date,Dynasty 5-6
1884,PorterMoss Date,Dynasty 5 or later
1885,PorterMoss Date,End of Dynasty 5 or later
1886,PorterMoss Date,Middle Dynasty 5 or later
1886,Baer Date,Mid Dynasty 5 or later
1887,PorterMoss Date,Dynasty 6
1888,PorterMoss Date,Dynasty 6 or later
1889,PorterMoss Date,Dynasty 6
1890,PorterMoss Date,Late Dyn 5 or early Dyn 6
1891,PorterMoss Date,End of Dynasty 5 or Dynasty 6
1891,Baer Date,End of the Dyn 5 or Dyn 6
1891,Harpur Date,Unis - Dynasty 6
1892,PorterMoss Date,Probably Dynasty 5-6
1893,PorterMoss Date,Possibly late Dynasty 4
1894,PorterMoss Date,Late Old Kingdom
1895,PorterMoss Date,Dynasty 6
1896,PorterMoss Date,Dynasty 6
1897,PorterMoss Date,Dynasty 6
1898,PorterMoss Date,Dynasty 5
1899,PorterMoss Date,Middle Dynasty 5 or later
1900,PorterMoss Date,Prob ably Dynasty 5 or later
1901,PorterMoss Date,Late Dyn 5 or early Dyn 6
1902,PorterMoss Date,End of Dynasty 5 or later
1903,PorterMoss Date,Late Old Kingdom
1903,(not entered),NULL
1904,PorterMoss Date,Dynasty 6
1906,PorterMoss Date,Probably late Dynasty 5
1907,PorterMoss Date,Dynasty 6
1907,Baer Date,Dynasty 6
1907,Harpur Date,Niuserre - Teti
1907,Strudwick Date,Perhaps mid Dyn 5 - early Dyn 6
1908,Baer Date,Niuserre or later
1908,Harpur Date,Niuserre - Djedkare
1908,PorterMoss Date,Neuserre or later
1909,PorterMoss Date,Dynasty 5 or early Dynasty 6
1910,PorterMoss Date,Dynasty 5
1911,PorterMoss Date,Early or middle Dynasty 5
1912,PorterMoss Date,Dynasty 5
1913,PorterMoss Date,Dynasty 5
1914,PorterMoss Date,Middle or late Dynasty 5
1914,Harpur Date,Niuserre - Unis
1914,Kanawati Date,Early Djedkare
1915,PorterMoss Date,Late Old Kingdom
1916,PorterMoss Date,End of Dynasty 5 or later
1917,PorterMoss Date,Dynasty 5 or later
1918,PorterMoss Date,Dynasty 5
1919,PorterMoss Date,Late Dynasty 4 or Dynasty 5
1920,PorterMoss Date,Dynasty 5
1921,PorterMoss Date,Dynasty 5-6
1923,PorterMoss Date,Dynasty 5-6
1924,PorterMoss Date,Dynasty 5
1925,PorterMoss Date,Dynasty 5-6
1926,PorterMoss Date,Middle to end of Dynasty 4
1927,PorterMoss Date,Izezi
1928,PorterMoss Date,End of dynasty 5 or later
1929,PorterMoss Date,Dynasty 6
1930,PorterMoss Date,Dynasty 6
1931,PorterMoss Date,Dynasty 6
1932,PorterMoss Date,Dynasty 5-6
1933,PorterMoss Date,Dynasty 6
1934,PorterMoss Date,Dynasty 6
1935,PorterMoss Date,Neferirkare or a little later
1935,Baer Date,Neferirkare - mid Dynasty 5
1935,Harpur Date,Neferirkare
1935,Jacquet-Gordon Date,Neferirkare
1936,PorterMoss Date,Dynasty 5-6
1937,PorterMoss Date,Late Dynasty 4 or Dynasty 5
1938,PorterMoss Date,Dynasty 6
1939,PorterMoss Date,Dynasty 5 or later
1940,PorterMoss Date,Early Dynasty 5
1940,Baer Date,Early Dynasty 5
1940,Harpur Date,Userkaf - Sahure
1940,Kanawati Date,Early Dynasty 5
1941,PorterMoss Date,Middle Dynasty 5 or later
1942,PorterMoss Date,Dynasty 5
1943,PorterMoss Date,End of Dyn 5 or early Dyn 6
1943,Harpur Date,Unis - Teti
1944,PorterMoss Date,End of Dynasty 4 or later
1945,PorterMoss Date,Dynasty 5 or later
1946,PorterMoss Date,Dynasty 6
1948,PorterMoss Date,Early Dynasty 5
1949,PorterMoss Date,Dynasty 5
1949,Brovarski Date,Dynasty 4-6
1950,PorterMoss Date,Dynasty 5-6
1951,PorterMoss Date,Late Old Kingdom
1952,PorterMoss Date,End of Dynasty 5 or later
1953,PorterMoss Date,Middle Dynasty 5 or later
1953,Baer Date,Mid Dynasty 5 or later
1953,Harpur Date,Niuserre - Unis
1954,PorterMoss Date,Dynasty 6
1955,PorterMoss Date,Dynasty 5-6
1956,PorterMoss Date,Dynasty 6
1958,PorterMoss Date,Dynasty 6
1959,PorterMoss Date,Dynasty 6
1960,PorterMoss Date,Late Old Kingdom
1961,PorterMoss Date,Dynasty 6
1962,PorterMoss Date,Dynasty 5-6
1963,PorterMoss Date,Dynasty 5-6
1966,PorterMoss Date,Probably Dynasty 6
1967,PorterMoss Date,Dynasty 5-6
1968,PorterMoss Date,Dynasty 5-6
1969,PorterMoss Date,Dynasty 5-6
1970,PorterMoss Date,End of Dyn 5 to middle Dyn 6
1971,PorterMoss Date,Dynasty 6
1972,PorterMoss Date,Dynasty 5-6
1973,PorterMoss Date,End of Dynasty 5 or Dynasty 6
1974,PorterMoss Date,Dynasty 6
1975,PorterMoss Date,Dynasty 6
1976,PorterMoss Date,Dynasty 6
1977,PorterMoss Date,End of Dynasty 5 or Dynasty 6
1978,PorterMoss Date,Dynasty 5-6
1979,PorterMoss Date,Middle Dynasty 6 or later
1980,PorterMoss Date,Dynasty 5 or later
1982,PorterMoss Date,Dynasty 5-6
1983,PorterMoss Date,Dynasty 5
1984,PorterMoss Date,End of Dyn 5 or early Dyn 6
1985,PorterMoss Date,Late Dynasty 4 or Dynasty 5
1986,PorterMoss Date,Dynasty 5
1987,PorterMoss Date,Dynasty 5-6
1988,PorterMoss Date,Dynasty 5-6
1989,PorterMoss Date,Dynasty 6
1990,PorterMoss Date,Dynasty 26
1991,PorterMoss Date,Dynasty 5
1992,PorterMoss Date,Dynasty 6
1993,PorterMoss Date,Dynasty 5-6
1994,PorterMoss Date,Dynasty 5-6
1995,PorterMoss Date,Middle Dynasty 5 or later
1996,PorterMoss Date,Dyn 5 or 6; reused Late Period
1996,PorterMoss Date,Dynasty 5-6
1997,PorterMoss Date,Dynasty 5-6
1998,PorterMoss Date,Dynasty 5-6
1999,PorterMoss Date,Dynasty 2 or 3
2000,PorterMoss Date,Dynasty 5 or later
2001,PorterMoss Date,Dynasty 5-6
2002,PorterMoss Date,Dynasty 5-6
2003,PorterMoss Date,Dyn 5-6; reused in Late Period
2004,PorterMoss Date,Dynasty 5
2005,PorterMoss Date,Old Kingdom
2006,PorterMoss Date,End of Dynasty 4
2007,PorterMoss Date,`Dynasty 5-6
2008,PorterMoss Date,Dynasty 6 or later (?)
2009,PorterMoss Date,Late Dynasty 5
2009,Harpur Date,Unis
2010,PorterMoss Date,Middle Dynasty 5 or later
2011,PorterMoss Date,Dynasty 5
2012,PorterMoss Date,Dynasty 4-5
2013,PorterMoss Date,End of Dyn 4 or early Dyn 5
2014,PorterMoss Date,Late Dyn 5 or Dyn 6
2015,PorterMoss Date,Late Dynasty 4 or Dynasty 5
2016,PorterMoss Date,Dynasty 5-6
2017,PorterMoss Date,Middle to late Dynasty 5
2018,PorterMoss Date,Dynasty 6
2019,PorterMoss Date,Probably Dynasty 5
2020,PorterMoss Date,Dynasty 5-6
2021,PorterMoss Date,Late Dynasty 4 or Dynasty 5
2022,PorterMoss Date,End of Dynasty 4
2023,PorterMoss Date,Dynasty 5
2024,PorterMoss Date,Late Dynasty 6
2025,PorterMoss Date,Middle Dynasty 5
2025,Harpur Date,Niuserre
2026,PorterMoss Date,Dynasty 4
2028,PorterMoss Date,Dynasty 4
2029,PorterMoss Date,Dynasty 4
2035,PorterMoss Date,Dynasty 4
2036,PorterMoss Date,Menkaure
2041,PorterMoss Date,Dynasty 5-6
2042,PorterMoss Date,Dynasty 5-6
2044,PorterMoss Date,Dynasty 6
2045,PorterMoss Date,Dynasty 6
2046,PorterMoss Date,Dynasty 6
2048,PorterMoss Date,Dynasty 5-6
2049,PorterMoss Date,Dynasty 5-6
2050,PorterMoss Date,Dynasty 6
2052,PorterMoss Date,Dynasty 6
2054,PorterMoss Date,Late Old Kingdom
2055,PorterMoss Date,Late Old Kingdom
2056,PorterMoss Date,Late Old Kingdom
2057,PorterMoss Date,Late Old Kingdom
2058,PorterMoss Date,Dynasty 5-6
2059,PorterMoss Date,Dynasty 6
2060,PorterMoss Date,Dynasty 5-6
2061,PorterMoss Date,Dynasty 5-6
2064,PorterMoss Date,Dynasty 5-6
2065,PorterMoss Date,Late Old Kingdom
2066,PorterMoss Date,Late Old Kingdom (?)
2067,PorterMoss Date,Late Dyn 6 or 1st Int. Period
2068,PorterMoss Date,Late Dyn 6 or 1st Int. Period
2069,PorterMoss Date,Dynasty 5-6
2070,PorterMoss Date,Early Dynasty 6 (?)
2071,PorterMoss Date,Dynasty 5-6
2072,PorterMoss Date,Dynasty 6
2073,PorterMoss Date,Dynasty 5
2074,PorterMoss Date,Dynasty 5
2074,Reisner Date,Menkaure
2075,PorterMoss Date,Dynasty 5 or later
2075,Reisner Date,Dynasty 5
2075,,
2076,PorterMoss Date,Dynasty 5
2076,Reisner Date,Late Dynasty 4 or Dynasty 5
2077,Reisner Date,Dynasty 5-6
2077,PorterMoss Date,Dynasty 5 or later
2078,PorterMoss Date,Dynasty 5 or later
2078,Reisner Date,Dynasty 5
2079,Reisner Date,Dynasty 5-6
2079,PorterMoss Date,Dynasty 5 or later
2080,PorterMoss Date,Khafre
2081,PorterMoss Date,Khafre
2082,PorterMoss Date,Sethos I to Amenophis II
2083,PorterMoss Date,Tuthmosis I
2093,PorterMoss Date,Dyn  21 with Dyn 26 enlargement
2094,Reisner Date,Late Dynasty 3 or Dynasty 4
2097,PorterMoss Date,Dynasty 5
2098,PorterMoss Date,Middle Dynasty 5
2100,PorterMoss Date,Dynasty 5
2102,PorterMoss Date,Middle or late Dynasty 4
2102,Manuelian Date,Khufu
2102,Jánosi Date,Khufu or shortly thereafter
2104,PorterMoss Date,Probably Dynasty 5-6
2105,PorterMoss Date,Dynasty 5-6
2106,Smith Date,Dynasty 5
2106,Harpur Date,Pepi II
2106,Baer Date,Middle of Dynasty 6
2106,PorterMoss Date,Middle Dynasty 6
2106,Cherpion Date,Niuserre
2107,PorterMoss Date,Middle Dynasty 5
2107,Baer Date,Mid Dynasty 5
2107,Kanawati Date,Early Djedkare
2107,Harpur Date,Niuserre
2118,Reisner Date,Dynasty 5
2118,PorterMoss Date,Dynasty 6
2132,Reisner Date,Late Dynasty 5 or early Dyn 6
2133,Reisner Date,Late Dynasty 5 or early Dyn 6
2138,Reisner Date,Ptolemaic
2139,Reisner Date,Ptolemaic
2140,Reisner Date,Ptolemaic
2148,Reisner Date,Neweserra or earlier
2154,PorterMoss Date,End of Dynasty 4
2155,PorterMoss Date,Late Dynasty 5
2155,Badawy Date,Late Dynasty 4 - early Dynasty 5
2155,Harpur Date,Menkauhor - Djedkare
2155,Strudwick Date,Perhaps middle of Dynasty 5
2156,PorterMoss Date,Dynasty 5
2157,Reisner Date,Dynasty 5-6
2160,Reisner Date,Chephren to Mycerinus
2161,Reisner Date,Late Dynasty 5
2162,Reisner Date,Late Dynasty 5
2163,Reisner Date,Dynasty 5
2164,Reisner Date,Dynasty 5
2165,Reisner Date,Late Dynasty 4 or Dynasty 5
2169,Reisner Date,Ptolemaic
2170,Reisner Date,Dynasty 5-6
2171,Reisner Date,Dynasty 5-6
2172,Reisner Date,Dynasty 5-6
2173,Reisner Date,Dynasty 5-6
2182,Reisner Date,Dynasty 5-6
2186,Reisner Date,Dynasty 5-6
2187,PorterMoss Date,Late Period
2189,Reisner Date,Old Kingdom & Ptolemaic
2190,Reisner Date,Old Kingdom
2191,Reisner Date,Dynasty 5-6
2192,Reisner Date,Dynasty 5-6
2193,Reisner Date,Dynasty 5-6
2194,Reisner Date,Dynasty 5-6
2195,Reisner Date,Dynasty 5-6
2197,Reisner Date,Dynasty 5-6
2198,Reisner Date,Dynasty 5-6
2199,Reisner Date,Dynasty 5-6
2200,Reisner Date,Dynasty 5-6
2201,PorterMoss Date,Old Kingdom
2205,PorterMoss Date,Dynasty 5-6
2206,Reisner Date,Dynasty 5-6
2208,Reisner Date,Dynasty 5-6
2210,Reisner Date,Ptolemaic
2212,Reisner Date,Ptolemaic
2222,Baer Date,Dynasty 5 or later
2222,PorterMoss Date,Probably first half of Dynasty 5
2228,PorterMoss Date,Dynasty 5-6
2229,PorterMoss Date,Menkaure
2230,PorterMoss Date,Menkaure (?)
2231,PorterMoss Date,Dynasty 5-6
2232,PorterMoss Date,Dynasty 5
2233,PorterMoss Date,Old Kingdom
2235,PorterMoss Date,Dynasty 26
2236,PorterMoss Date,Old Kingdom
2237,PorterMoss Date,Saite
2238,PorterMoss Date,Saite
2239,PorterMoss Date,Dynasty 5-6
2241,PorterMoss Date,Late Old Kindgom
2242,PorterMoss Date,Dynasty 5-6
2244,PorterMoss Date,1st Intermediate Period
2245,PorterMoss Date,Dynasty 6
2246,PorterMoss Date,Dynasty 5-6
2247,PorterMoss Date,Late Dynasty 6
2248,PorterMoss Date,Dynasty 5-6
2249,PorterMoss Date,Late Dynasty 4 or later
2250,PorterMoss Date,Dynasty 26
2252,PorterMoss Date,Dynasty 26
2253,PorterMoss Date,Dynasty 30
2254,PorterMoss Date,Dynasty 2; Dynasty 26
2256,PorterMoss Date,Dynasty 4
2266,PorterMoss Date,Dynasty 5
2266,Reisner Date,Dynasty 5
2267,PorterMoss Date,Dynasty 5 or later
2267,Reisner Date,Dynasty 5
2268,PorterMoss Date,Dynasty 5 or later
2268,Reisner Date,Dynasty 5-6
2269,PorterMoss Date,Dynasty 5 or later
2269,Reisner Date,Dynasty 5
2270,PorterMoss Date,Dynasty 5 or later
2270,Reisner Date,Dynasty 5
2271,Reisner Date,Dynasty 5-6
2272,Reisner Date,Dynasty 5-6
2273,Reisner Date,Dynasty 5-6
2274,Reisner Date,Dynasty 5-6
2275,Reisner Date,Dynasty 6 (?)
2276,PorterMoss Date,Late Dynasty 4
2276,Reisner Date,Menkaure
2277,Reisner Date,Dynasty 5
2278,Reisner Date,Dynasty 5-6
2287,Reisner Date,Saite-Ptolemaic
2294,PorterMoss Date,Dynasty 4
2295,PorterMoss Date,Dynasty 4
2296,PorterMoss Date,Dynasty 4
2297,Reisner Date,Dynasty 4
2298,Reisner Date,Dynasty 4
2299,Reisner Date,Dynasty 4
2300,Reisner Date,Dynasty 4
2301,Reisner Date,Dynasty 4
2304,Reisner Date,Dynasty 4
2305,Reisner Date,Dynasty 4
2396,PorterMoss Date,Dynasty 5-6
2398,PorterMoss Date,Late Dynasty 6
2399,PorterMoss Date,Late Dynasty 5 or Dynasty 6
2401,PorterMoss Date,Dynasty 5
2401,PorterMoss Date,Probably Dynasty 6
2401,(not entered),NULL
2573,Reisner Date,Roman
2574,Reisner Date,Roman
2585,Reisner Date,Khufu
2623,PorterMoss Date,Middle or late Dynasty 4
2653,Reisner Date,Ptolemaic
2654,Reisner Date,Ptolemaic
2655,Reisner Date,Ptolemaic
2656,Reisner Date,Ptolemaic
2657,Reisner Date,Ptolemaic
2659,Reisner Date,Ptolemaic
2729,Reisner Date,Old Kingdom
2729,Reisner Date,Ptolemaic
2737,PorterMoss Date,Dynasty 4
2750,PorterMoss Date,Dynasty 4
2796,PorterMoss Date,Dynasty 4
2870,Reisner Date,World War I
2877,PorterMoss Date,Dynasty 4
2878,PorterMoss Date,Dynasty 4
2879,PorterMoss Date,Dynasty 4
2899,Reisner Date,Roman
2923,Reisner Date,Ptolemaic
3030,Reisner Date,Ptolemaic
3031,Reisner Date,Ptolemaic
3064,Reisner Date,Ptolemaic
3065,Reisner Date,Ptolemaic
