SiteID,EventType,DateText
530,PorterMoss Date,Niuserre
530,Baer Date,Dynasty 5: Niuserre
530,Harpur Date,Niuserre
530,Jacquet-Gordon Date,Niuserre
530,Kanawati Date,Late Sahure - Niuserre
530,idem Date,Probably 2nd half of Niuserre
530,Strudwick Date,Early in the reign of Niuserre
532,PorterMoss Date,Khephren to Menkaure
536,PorterMoss Date,Early Dynasty 5
536,Baud Date,Probably Khafre
536,Harpur Date,Userkaf - Sahure
536,Jacquet-Gordon Date,Mid Dynasty 5
536,Junker Date,Early Dynasty 5
536,Kanawati Date,Late Khufu - late Dynasty 4
536,idem Date,Probably middle of the reign
536,Reisner Date,Late Menkaure - post-Neferirkare
536,Schmitz Date,Early Dynasty 5
536,Strudwick Date,Early Dynasty 5
536,Baer Date,Early Dynasty 5
538,Baer Date,Dynasty 5: early Djedkare
538,Baud Date,Neferirkare or Niuserre ?
538,Brunner-Traut Date,Late Dynasty 5
538,Harpur Date,Early Djedkare
538,Jacquet-Gordon Date,After Neferirkare
538,Junker Date,Second half of Dynasty 5
538,Kanawati Date,Late Djedkare
538,Strudwick Date,Menkauhor - early/mid Djedkare
538,PorterMoss Date,Isesi (early)
540,PorterMoss Date,Dynasty 6
541,PorterMoss Date,Khufu to end of Dyn 4 or early 5
541,Baer Date,End Dyn 4 - beginning of Dyn 5
544,PorterMoss Date,Dynasty 5-6
547,PorterMoss Date,Middle Dynasty 5
547,Harpur Date,Niuserre
547,Junker Date,Late Dynasty 5 - early Dynasty 6
547,Kanawati Date,Late Sahure
547,Reisner Date,Neferirkare - Djedkare
547,Baer Date,Middle of Dynasty 5
548,PorterMoss Date,Dynasty 5-6
549,PorterMoss Date,Neferirkare or later
549,Harpur Date,Neferirkare - Niuserre
549,Junker Date,After Neferirkare
549,Kanawati Date,Late Dynasty 4
549,Reisner Date,Neferirkare - Djedkare
549,Strudwick Date,Neferirkare or slightly later
549,Baer Date,Neferirkare - mid Dynasty 5
554,Baud Date,Late Dynasty 4 - early Dynasty 5
554,Baer Date,Early Dynasty 5
554,Harpur Date,Menkaure - Userkaf
554,Junker Date,Beginning of Dynasty 5
554,Kanawati Date,Menkaure
554,Reisner and Smith Date,After Shepseskaf
554,Rzepka,2nd half of Dyn 4 - early Dyn 5
554,Schmitz Date,NULL
554,Strudwick Date,Early Dynasty 5
554,PorterMoss Date,End of Dyn 4 to early Dyn 5
557,PorterMoss Date,Dynasty 4-5
562,PorterMoss Date,Old Kingdom
566,PorterMoss Date,Middle Dynasty 5
566,Harpur Date,Niuserre
566,Kanawati Date,Early Dynasty 5
566,Baer Date,Mid Dynasty 5
567,PorterMoss Date,Middle Dynasty 5
568,PorterMoss Date,Middle Dynasty 5 or later
568,Baer Date,Mid Dynasty 5 or later
570,Baer Date,Dynasty 6
570,PorterMoss Date,Dynasty 6
601,PorterMoss Date,End of Dynasty 5
601,Baer Date,End of Dynasty 5 or later
602,PorterMoss Date,Probably Dynasty 6
603,PorterMoss Date,Probably Dynasty 6
607,PorterMoss Date,Late Dynasty 5 or Dynasty 6
617,Baer Date,Early - mid Dynasty 5
617,Harpur Date,Userkaf - Neferirkare
617,Kanawati Date,Unis
617,Reisner Date,Late Menkaure - post-Neferirkare
617,Smith Date,Menkaure
617,Strudwick Date,Early Dynasty 5
617,Reisner Date,Dynasty 4
617,PorterMoss Date,Early Dynasty 5
646,PorterMoss Date,Unis
646,Reisner Date,Unis
646,Roth Date,Unis
647,PorterMoss Date,Khufu to Niuserre
647,Reisner Date,Khufu to Niuserre
648,PorterMoss Date,Niuserre to Izezi
648,Reisner Date,Niuserre to Izezi
648,Roth Date,Niuserre - Djedkare - Unis
648,PorterMoss Date,Izezi to Unis
648,Baer Date,Dynasty 6
650,Roth Date,Djedkare
650,PorterMoss Date,Izezi
650,Reisner Date,Izezi
651,PorterMoss Date,Dynasty 4-5
651,Reisner Date,Niuserre to Unis
651,Roth Date,Niuserre - Djedkare - Unis
654,Roth Date,Niuserre - Djedkare
654,PorterMoss Date,Dynasty 4-5
654,Reisner Date,Niuserre to Izezi
656,PorterMoss Date,Late Dynasty 5 or Dynasty 6
656,Reisner Date,Niuserre to Izezi
656,Harpur Date,Unis - Dynasty 6
656,Roth Date,Niuserre - Djedkare
656,,
658,Roth Date,Menkauhor - Djedkare
658,PorterMoss Date,Dynasty 6
658,Reisner Date,Niuserre to Izezi
659,PorterMoss Date,Late Niuserre to Izezi
659,Roth Date,Late Niuserre - Djedkare
660,Roth Date,Djedkare - Unis.
660,PorterMoss Date,Izezi to Unis
662,PorterMoss Date,Izezi or slightly before
663,Reisner Date,Izezi to Unis
663,PorterMoss Date,Late Dyn 5 or early Dyn 6
663,Roth Date,"Niuserre ? or Isesi, Djedkare"
663,Roth Date,Late Djedkare - Unis
668,Roth Date,Unis or slightly before
668,Reisner Date,Izezi to Unis
668,PorterMoss Date,Late Dynasty 5
669,Reisner Date,Before end of Dynasty 5
669,PorterMoss Date,Dynasty 6
669,Roth Date,Djedkare - Unis?
671,Baud Date,Djedefre - Khafre
671,Harpur Date,Menkaure - Userkaf
671,Jacquet-Gordon Date,Late Dynasty 4 - early Dynasty 5
671,Kanawati Date,Early Dynasty 5
671,Schmitz Date,Early Dynasty 5
671,Priese Date,End of Dynasty 4 to begin Dyn. 5
671,Barta Date,Dynasty 4: Pre-Menkaure
671,Harpur Date,Dynasty 4-5: Shepseskaf-Userkaf
671,Cherpion Date,Dyn 4: Khufu
671,Begelsbacher-Fischer Date,Early Dynasty 5
671,Strudwick Date,Menkaure to the end of Dynasty 4
671,Baer Date,Early Dynasty 5
671,Junker Date,Early Dynasty 5
671,Reisner Date,Late Menkaure- post-Neferirkare
671,PorterMoss Date,Cites Reisner & Junker dates
672,PorterMoss Date,Dynasty 5
672,Baud Date,Second half of Dynasty 4
672,Harpur Date,Dynasty 5: Sahure to Neferirkare
672,Junker Date,Early Dynasty 5
677,Begelsbacher-Fischer Date,End of Dyn. 4-early Dyn. 5
677,Harpur Date,Khafre
677,Strudwick Date,Khafre or later
677,Baer Date,End Dyn. 4 to early Dyn. 5
677,Cherpion Date,Dyn. 4: not later than Djedefre
677,PorterMoss Date,Khafre
683,PorterMoss Date,Late Old Kingdom
686,PorterMoss Date,Middle or late Dynasty 4
686,Manuelian Date,Khufu
686,Jánosi Date,Khufu or Djedefre
688,Harpur Date,Khufu
688,Jánosi Date,Khafre or Djedefre (chapel)
688,Baud Date,Dyn. 4: Khufu
688,PorterMoss Date,Probably Khufu
690,PorterMoss Date,Dynasty 6
690,Baer Date,Dynasty 6
699,Jánosi Date,Khafre (chapel)
699,PorterMoss Date,Late Dynasty 4 or Dynasty 5
708,PorterMoss Date,Early Dynasty 5
708,Cherpion Date,Menkaure
708,Baer Date,Early Dynasty 5
708,Baud Date,Menkaure--beginning of Dyn. 5
708,Harpur Date,Userkaf - Neferirkare
708,Jacquet-Gordon Date,Early Dynasty 5
708,Kanawati Date,Early Dynasty 5
708,Reisner Date,post-Menkaure
708,Barta Date,Early Dynasty 5
708,Kaplony Date,Dyn. 4: not later than Menkaure
714,Baer Date,Dynasty 6
714,PorterMoss Date,Dynasty 6
715,Reisner Date,Late Dyn. 4 to early Dyn. 5
716,Harpur Date,Userkaf - Neferirkare
716,Jacquet-Gordon Date,Early Dynasty 5
716,Junker Date,Early Dynasty 5
716,Kanawati Date,Late Sahure
716,Reisner Date,Late Menkaure - post-Neferirkare
716,Schmitz Date,Early Dynasty 5
716,Baer Date,Early Dynasty 5
716,Baud Date,Dynasty 4: Khufu to Djedefre
716,Cherpion Date,Dyn. 4: not later than Djedefre
716,PorterMoss Date,Early Dynasty 5
725,Reisner Date,Late Dyn. 4 to early Dyn. 5
730,Harpur Date,Userkaf -- Neferefre
730,PorterMoss Date,First half of Dynasty 5
733,PorterMoss Date,Dynasty 5
740,PorterMoss Date,End of Dynasty 5 or Dynasty 6
740,Baer Date,End of Dynasty 5 or later
740,Harpur Date,Unis - Teti
741,PorterMoss Date,Late Dyn 5 or early Dyn 6
744,PorterMoss Date,Dynasty 6
745,PorterMoss Date,Middle Dynasty 5 or later
745,Baer Date,Mid Dynasty 5 or later
749,Reisner Date,Dynasty 5
749,PorterMoss Date,Dynasty 5 or 6
749,Baer Date,Dynasty 6
750,Baer Date,End of Dynasty 5
750,PorterMoss Date,End of Dynasty 5
750,Grdseloff Date,End of the reign of Djedkare
750,Harpur Date,Unis
750,Reisner Date,Latter part of Dynasty 5
754,Reisner Date,Late Menkaure - post-Neferirkare
754,PorterMoss Date,Late Dyn 4 or early Dyn 5
761,Reisner Date,Phase I to III ?
761,Roth Date,Niuserre - Djedkare
775,Roth Date,Djedkare or Unis
775,PorterMoss Date,Sahure to Unis
775,Reisner Date,Sahure to Unis
798,PorterMoss Date,Pepy I (?)
800,PorterMoss Date,Dynasty 5 (?)
801,PorterMoss Date,Dynasty 5-6 (?)
803,PorterMoss Date,Dynasty 6
809,PorterMoss Date,End of Dynasty 5 or later
809,Baer Date,End of Dynasty 5 or later
810,PorterMoss Date,Dynasty 5
815,PorterMoss Date,Dynasty 6
816,PorterMoss Date,Dynasty 6
820,PorterMoss Date,Probably Dynasty 6
820,Baer Date,Dynasty 6?
821,Baer Date,End of Dynasty 5
821,Baer Date,Second half of Djedkare
821,Baud Date,Djedkare
821,Harpur Date,Mid - late Djedkare
821,Jacquet-Gordon Date,Late Djedkare
821,Kanawati Date,Late Djedkare
821,Strudwick Date,Late in the reign of Djedkare
821,PorterMoss Date,Isesi
825,PorterMoss Date,Early Dynasty 6
825,Baer Date,Dynasty 6
826,Reisner Date,Late Dynasty 6
826,PorterMoss Date,Merenre I or Pepy II
830,PorterMoss Date,Dynasty 6
830,Reisner Date,Dynasty 7 or 8
831,Baer Date,Dynasty 6
831,PorterMoss Date,Late Pepy I or Merenre I
832,PorterMoss Date,Pepy II
833,PorterMoss Date,Unis
833,Baer Date,Dynasty 5: Unis
833,Baud Date,Djedkare - Unis
833,Brovarski Date,NULL
833,Harpur Date,Unis
833,Jacquet-Gordon Date,Unis
833,Kanawati Date,Late Unis
833,Strudwick Date,MId Unis
835,PorterMoss Date,Dynasty 6 (?)
836,PorterMoss Date,Dynasty 6
839,PorterMoss Date,Dynasty 6
856,PorterMoss Date,Late Dynasty V
864,PorterMoss Date,Late Dynasty 5
867,PorterMoss Date,Late Dynasty 5
869,PorterMoss Date,Late Dynasty 5
870,PorterMoss Date,Late Dynasty 5
871,PorterMoss Date,Late Dynasty 5
872,PorterMoss Date,Dynasty 5-6
875,Harpur Date,Unis
878,PorterMoss Date,Early Dynasty 6
897,PorterMoss Date,Dynasty 6
923,PorterMoss Date,Dynasty 6
933,PorterMoss Date,Dynasty 6 (?)
948,Baer Date,Dynasty 6
948,PorterMoss Date,Dynasty 6
948,Reisner Date,Middle Dynasty 5
949,Reisner Date,Middle Dynasty 5
951,Reisner Date,Dynasty 5-6
952,Baer Date,Dynasty 6
952,PorterMoss Date,Dynasty 6
952,Reisner Date,Niuserre or later
958,Reisner Date,Dynasty 5-6
958,PorterMoss Date,Dynasty 6
958,Baer Date,Dynasty 6
959,Baer Date,Dynasty 6
959,PorterMoss Date,Dynasty 6
959,Reisner Date,Late Dynasty 5
966,Reisner Date,Early Dynasty 5
969,Reisner Date,Dynasty 5
969,PorterMoss Date,Dynasty 6
970,Reisner Date,Dynasty 5
971,Reisner Date,Dynasty 5-6
971,PorterMoss Date,Dynasty 6
976,Reisner Date,Early Dynasty 5
982,PorterMoss Date,Dynasty 6
987,PorterMoss Date,Dynasty 6
987,Reisner Date,End of Dynasty 5
992,Reisner Date,Dynasty 5
992,PorterMoss Date,Dynasty 6
993,PorterMoss Date,Dynasty 6
993,Reisner Date,Dynasty 6
994,Reisner Date,Dynasty 5-6
995,PorterMoss Date,Dynasty 6
995,Reisner Date,Dynasty 6
996,PorterMoss Date,Dynasty 6
996,Reisner Date,Late Dynasty 5
997,Reisner Date,Dynasty 5
997,PorterMoss Date,Dynasty 6
998,Reisner Date,Middle Dynasty 5
999,Junker Date,Dynasty 4
999,PorterMoss Date,Khufu
999,Baer Date,"Dynasty 4, Khufu"
1000,PorterMoss Date,Dynasty 5-6
1002,PorterMoss Date,Middle or late Dynasty 4
1004,Baer Date,Dynasty 4
1004,PorterMoss Date,Khufu
1005,PorterMoss Date,Khufu
1007,PorterMoss Date,Middle Dyn 4 to early Dyn 5
1007,Baer Date,Not before Khafre
1008,Reisner Date,Early Dynasty 5
1008,PorterMoss Date,Early Dyn 5 or end Dyn 5-later
1008,Baer Date,End of Dynasty 5 or later
1009,PorterMoss Date,Khufu
1010,PorterMoss Date,Khufu
1012,PorterMoss Date,Dynasty 5
