"Code","Code2","Term"
5976,"E01/0432/3","SEMINAR F�R �GYPTOLOGIE DER UNIVERSIT�T ZU K�LN [04/035]"
5977,"E01/0386/2","DARMSTADT"
5978,"E01/0387/3","HESSISCHES LANDESMUSEUM [04/011]"
5979,"E01/0388/2","DETMOLD"
5980,"E01/0389/3","LIPPISCHES LANDESMUSEUM [04/012]"
5981,"E01/0390/2","DRESDEN"
5982,"E01/0391/3","STAATLICHE KUNSTSAMMLUNGEN, SKULPTURENSAMMLUNG [04/013]"
5983,"E01/0392/2","D�SSELDORF"
5984,"E01/0393/3","HETJENS-MUSEUM (DEUTSCHES KERAMIKMUSEUM) [04/014]"
5985,"E01/0394/2","ERLANGEN"
5986,"E01/0395/3","KUNSTSAMMLUNG (ARCH�OLOGISCHE SAMMLUNG) DER UNIVERSIT�T [04/015]"
5987,"E01/0396/2","ESSEN"
5988,"E01/0397/3","MUSEUM FOLKWANG [04/016]"
5989,"E01/0398/2","FRANKFURT-AM-MAIN"
5990,"E01/0399/3","LIEBIEGHAUS, MUSEUM ALTER PLASTIK [04/017]"
5991,"E01/1484/3","SENCKENBERG MUSEUM [04/059]"
5992,"E01/0400/2","FREIBURG IM BREISGAU"
5993,"E01/0401/3","ARCH�OLOGISCHES INSTITUT DER UNIVERSIT�T [04/018]"
