SiteID,MediaMasterID,PrimaryDisplay
1,31197,0
1,30300,0
1,30309,0
1,31372,0
1,31390,0
1,31395,0
1,14463,0
1,19344,0
1,19893,0
1,30290,0
1,31377,0
1,31407,0
1,31410,0
1,41737,0
1,31380,0
1,31389,0
1,51675,0
1,31,1
1,30279,0
1,30281,0
1,31367,0
1,31402,0
1,51674,0
2,31402,0
2,31401,0
2,31366,0
2,30297,0
2,30498,0
2,30499,0
2,31269,0
2,30279,0
2,21054,0
2,21223,0
2,31,0
2,31389,0
2,31380,0
2,30310,0
2,30312,0
2,30269,0
2,18142,0
2,31377,0
2,31374,0
2,31376,0
2,30039,0
2,30040,0
2,30290,0
2,30288,0
2,30589,1
2,19910,0
2,15849,0
2,20598,0
2,31395,0
2,31390,0
2,31365,0
2,31406,0
2,30309,0
2,30295,0
2,30293,0
2,31270,0
2,19740,0
2,19892,0
2,30091,0
2,30268,0
3,30268,0
3,30202,0
3,19983,0
3,17141,0
3,10473,0
3,10873,0
3,9821,0
3,19740,0
3,22739,0
3,22746,0
3,21053,0
3,21078,0
3,31340,0
3,30293,0
3,30295,0
3,30309,0
3,31406,0
3,31404,0
3,31390,0
3,31395,0
3,22584,1
3,15849,0
3,17453,0
3,19777,0
3,9632,0
3,9633,0
3,9832,0
3,9833,0
3,9848,0
3,30289,0
3,30308,0
3,30307,0
3,30204,0
3,31407,0
3,31410,0
3,31411,0
3,31408,0
3,18194,0
3,17833,0
3,19755,0
3,19855,0
3,22733,0
3,19248,0
3,19730,0
3,10063,0
3,10399,0
3,30269,0
3,41933,0
3,30696,0
3,23926,0
3,23933,0
3,31389,0
3,31262,0
3,31339,0
3,31405,0
3,31403,0
3,31398,0
3,31412,0
3,30587,0
3,30576,0
3,31,0
3,9825,0
3,17279,0
3,21223,0
3,22594,0
3,22775,0
3,22776,0
3,21909,0
3,30698,0
3,30582,0
3,30580,0
3,30581,0
3,30633,0
3,30298,0
3,30281,0
3,30299,0
3,30313,0
3,30314,0
3,30315,0
3,31402,0
3,31149,0
3,30199,0
3,41945,0
3,49482,0
4,31468,0
4,30382,0
4,30697,0
4,22392,0
4,22393,0
4,22394,0
4,31,0
4,22395,0
4,30709,0
4,31494,1
4,19910,0
4,19911,0
4,30384,0
4,30518,0
4,30577,0
4,31490,0
4,10137,0
4,11,0
4,11343,0
5,30836,0
